id      ,Building Name                   ,Year of Completion ,Total Floors ,Swimming Pools ,Total Parking Spaces ,Total Building Area ,Elevators ,Retail Centres
8433508 ,Torch Tower                     ,2011               ,76           ,NA             ,NA                   ,"852,218 sqft"      ,NA        ,6
8338339 ,OPAL TOWER                      ,2009               ,30           ,NA             ,NA                   ,"261,612 sqft"      ,NA        ,NA
8325449 ,Beauport X1                     ,2009               ,25           ,NA             ,985                  ,"138,520 sqft"      ,3         ,NA
8309213 ,TRIDENT GRAND RESIDENCE         ,2010               ,40           ,NA             ,NA                   ,"530,884 sqft"      ,NA        ,22
8316275 ,The Jewels T2                   ,2009               ,18           ,NA             ,NA                   ,"153,653 sqft"      ,NA        ,2
8324794 ,Sky View Tower                  ,2011               ,27           ,NA             ,NA                   ,"231,557 sqft"      ,NA        ,6
8283156 ,TFG MARINA                      ,2015               ,33           ,NA             ,NA                   ,"241,220 sqft"      ,NA        ,4
8277079 ,TFG ONE HOTEL                   ,2018               ,23           ,1              ,106                  ,"217,036 sqft"      ,6         ,5
8281693 ,MARINA RESIDENCE A              ,2008               ,16           ,NA             ,NA                   ,"81,708 sqft"       ,NA        ,NA
8250569 ,Sulafa Tower                    ,2010               ,67           ,NA             ,NA                   ,"846,914 sqft"      ,NA        ,1
8405772 ,DEC TOWERS T3                   ,2009               ,1            ,NA             ,NA                   ,"29,540 sqft"       ,NA        ,NA
8306764 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8264433 ,Jumeirah Living Marina Gate     ,2020               ,61           ,2              ,729                  ,"1,403,677 sqft"    ,12        ,16
8376240 ,Studio One                      ,2019               ,32           ,1              ,424                  ,"264,403 sqft"      ,6         ,5
8259787 ,Torch Tower                     ,2011               ,76           ,NA             ,NA                   ,"852,218 sqft"      ,NA        ,6
8264917 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8215223 ,Dubai Marina Mall Hotel         ,2009               ,31           ,NA             ,NA                   ,"1,565,456 sqft"    ,NA        ,12
8263028 ,Marina Quay North               ,2010               ,10           ,NA             ,NA                   ,"204,945 sqft"      ,NA        ,NA
8238629 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8315067 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8195562 ,Al Majara 3                     ,2007               ,10           ,NA             ,NA                   ,"70,040 sqft"       ,NA        ,2
8206986 ,MARINA VIEW TOWER A             ,2009               ,26           ,NA             ,NA                   ,"247,478 sqft"      ,NA        ,11
8206536 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8181822 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8158104 ,OCEAN HEIGHTS                   ,2010               ,75           ,NA             ,NA                   ,"810,161 sqft"      ,NA        ,1
8200958 ,MARINA TERRACE                  ,2008               ,36           ,NA             ,NA                   ,"305,965 sqft"      ,NA        ,14
8235960 ,Al Majara 2                     ,2007               ,33           ,NA             ,NA                   ,"283,672 sqft"      ,NA        ,2
8259650 ,52|42 Tower 1                   ,2020               ,52           ,1              ,379                  ,"1,465,941 sqft"    ,6         ,NA
8129575 ,MARINA DIAMOND - B              ,2008               ,3            ,NA             ,NA                   ,"13,392 sqft"       ,NA        ,3
8162635 ,ESCAN MARINA TOWER              ,2016               ,31           ,NA             ,NA                   ,"278,342 sqft"      ,NA        ,2
8140381 ,ALMASS                          ,2008               ,29           ,NA             ,NA                   ,"706,961 sqft"      ,NA        ,3
8104347 ,DEC TOWERS T2                   ,2009               ,28           ,NA             ,NA                   ,"290,902 sqft"      ,NA        ,8
8118650 ,Paloma x3                       ,2009               ,40           ,NA             ,985                  ,"275,870 sqft"      ,3         ,NA
8096062 ,THE RESIDENCES AT MARINA GATE 1 ,2018               ,47           ,1              ,640                  ,"610,210 sqft"      ,10        ,16
8037920 ,23 MARINA                       ,2012               ,62           ,NA             ,NA                   ,"886,537 sqft"      ,NA        ,NA
8036209 ,MAG218                          ,2010               ,57           ,NA             ,NA                   ,"689,176 sqft"      ,NA        ,7
8493288 ,LIV RESIDENCE                   ,2020               ,28           ,1              ,205                  ,"427,447 sqft"      ,4         ,8
7997869 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8075966 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8045281 ,Marina Pinnacle                 ,2011               ,66           ,NA             ,NA                   ,"849,284 sqft"      ,NA        ,7
8040172 ,ELITE RESIDENCE                 ,2012               ,75           ,NA             ,NA                   ,"925,527 sqft"      ,NA        ,3
8204838 ,TFG MARINA                      ,2015               ,33           ,NA             ,NA                   ,"241,220 sqft"      ,NA        ,4
7946606 ,MARINA ARCADE                   ,2017               ,49           ,1              ,367                  ,"858,187 sqft"      ,8         ,1
7973377 ,Studio One                      ,2019               ,32           ,1              ,424                  ,"264,403 sqft"      ,6         ,5
7952760 ,CAYAN TOWER                     ,2013               ,68           ,NA             ,NA                   ,"720,602 sqft"      ,NA        ,7
7923014 ,MARINA DIAMOND-3                ,2008               ,16           ,NA             ,NA                   ,"138,330 sqft"      ,NA        ,5
7970880 ,SAHAB-1                         ,2007               ,24           ,NA             ,NA                   ,"147,836 sqft"      ,NA        ,1
7935961 ,Dubai Marina Mall Hotel         ,2009               ,31           ,NA             ,NA                   ,"1,565,456 sqft"    ,NA        ,12
8315445 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
7961484 ,BOTANICA TOWER-1                ,2011               ,36           ,NA             ,NA                   ,"345,350 sqft"      ,NA        ,6
8014693 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8403454 ,Orra Marina                     ,2012               ,31           ,NA             ,NA                   ,"294,679 sqft"      ,NA        ,6
8468886 ,DM MESK                         ,2008               ,38           ,NA             ,NA                   ,"498,918 sqft"      ,NA        ,4
7909943 ,OPAL TOWER                      ,2009               ,30           ,NA             ,NA                   ,"261,612 sqft"      ,NA        ,NA
7880454 ,AL SEEF 1                       ,2005               ,41           ,NA             ,NA                   ,"568,337 sqft"      ,NA        ,8
8465082 ,K G TOWER                       ,2008               ,19           ,NA             ,NA                   ,"168,414 sqft"      ,NA        ,3
8316483 ,Horizon Tower                   ,2008               ,42           ,NA             ,NA                   ,"411,917 sqft"      ,NA        ,1
7850513 ,MAG218                          ,2010               ,57           ,NA             ,NA                   ,"689,176 sqft"      ,NA        ,7
8422863 ,PARK ISLAND BONAIRE             ,2010               ,32           ,1              ,190                  ,"433,754 sqft"      ,3         ,NA
7790021 ,ELITE RESIDENCE                 ,2012               ,75           ,NA             ,NA                   ,"925,527 sqft"      ,NA        ,3
7812040 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8093526 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8446665 ,ELITE RESIDENCE                 ,2012               ,75           ,NA             ,NA                   ,"925,527 sqft"      ,NA        ,3
8406212 ,Al Majara 2                     ,2007               ,33           ,NA             ,NA                   ,"283,672 sqft"      ,NA        ,2
8173757 ,Marina Quay West                ,2010               ,38           ,NA             ,NA                   ,"293,542 sqft"      ,NA        ,NA
8493291 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8320345 ,ELITE RESIDENCE                 ,2012               ,75           ,NA             ,NA                   ,"925,527 sqft"      ,NA        ,3
8431500 ,MANCHESTER TOWER                ,2008               ,33           ,NA             ,NA                   ,"257,766 sqft"      ,NA        ,3
7733118 ,SAHAB-1                         ,2007               ,24           ,NA             ,NA                   ,"147,836 sqft"      ,NA        ,1
