id,Building Name,Year of Completion,Total Floors,Swimming Pools,Total Parking Spaces,Total Building Area,Elevators,Retail Centres
7776340,NA,NA,NA,NA,NA,NA,NA,NA
7594814,NA,NA,NA,NA,NA,NA,NA,NA
7594882,NA,NA,NA,NA,NA,NA,NA,NA
7480572,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
7434333,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
6874132,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
6822547,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
6822544,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
6846240,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
7476575,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
6651482,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8250124,MARINA MANSIONS,2008,31,NA,NA,"339,189 sqft",NA,5
8033275,ESCAN MARINA TOWER,2016,31,NA,NA,"278,342 sqft",NA,2
8466855,IRIS BLUE,2011,29,NA,NA,"211,465 sqft",NA,6
8515747,DORRA BAY,2009,22,NA,NA,"297,040 sqft",NA,19
8457625,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8344878,Marina Pinnacle,2011,66,NA,NA,"849,284 sqft",NA,7
8460430,52|42 Tower 1,2020,52,1,379,"1,465,941 sqft",6,NA
8459214,52|42 Tower 1,2020,52,1,379,"1,465,941 sqft",6,NA
8025952,NA,NA,NA,NA,NA,NA,NA,NA
7879693,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
7917368,NA,NA,NA,NA,NA,NA,NA,NA
8173306,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8174166,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8303990,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8324173,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8537373,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8488715,ROYAL OCEANIC-1,2009,32,NA,NA,"370,459 sqft",NA,7
8293734,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
8241181,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8395645,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8349912,MARINA 101,NA,61,NA,NA,"1,379,605 sqft",NA,NA
8514064,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8474934,Jumeirah Living Marina Gate,2020,61,2,729,"1,403,677 sqft",12,16
5767131,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
7662923,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
7978227,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8276394,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8029846,NA,NA,NA,NA,NA,NA,NA,NA
8495309,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
7870910,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
8400704,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8277550,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8277548,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8460597,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8469284,Al Majara 1,2007,29,NA,NA,"254,302 sqft",NA,1
8464694,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
