id,Developer,Ownership,Built-up Area,Usage,Balcony Size,Total Building Area,Parking Availability
8545153,EMAAR PROPERTIES (P.J.S.C),Freehold,"1,302 sqft",Residential,58 sqft,"433,754 sqft",Yes
7454384,DHEERAJ & EAST COAST (L.L.C),Freehold,"1,287 sqft",Residential,110 sqft,"223,642 sqft",Yes
8486813,NA,Freehold,"2,451 sqft",Residential,179 sqft,"411,917 sqft",Yes
8186276,BAY CENTRAL DEVELOPMENTS LIMITED,Freehold,647 sqft,Residential,51 sqft,"277,517 sqft",Yes
8494249,WEST AVENUE LIMITED,Freehold,"1,237 sqft",Residential,177 sqft,"267,598 sqft",Yes
6237477,EMAAR PROPERTIES (P.J.S.C),Freehold,"1,367 sqft",Residential,108 sqft,"293,542 sqft",Yes
8500428,NA,Freehold,789 sqft,Residential,56 sqft,"124,220 sqft",Yes
8464311,BAY CENTRAL DEVELOPMENTS LIMITED,Freehold,651 sqft,Residential,54 sqft,"324,780 sqft",Yes
8146600,NA,Freehold,"1,858 sqft",Residential,99 sqft,"207,736 sqft",Yes
8536637,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8523869,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"1,653 sqft",Residential,269 sqft,"358,606 sqft",Yes
8254934,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,778 sqft,Residential,NA,"846,914 sqft",Yes
8223817,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,967 sqft,Residential,87 sqft,"846,914 sqft",Yes
8489131,WEST AVENUE LIMITED,Freehold,"1,237 sqft",Residential,177 sqft,"267,598 sqft",Yes
8497311,NA,Freehold,704 sqft,Residential,NA,"321,210 sqft",Yes
8315710,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,152 sqft",Other,124 sqft,"1,403,598 sqft",Yes
8168815,NA,Freehold,"1,410 sqft",Residential,75 sqft,"207,736 sqft",Yes
8253958,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"1,653 sqft",Residential,269 sqft,"358,606 sqft",Yes
8322403,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"1,776 sqft",Residential,141 sqft,"530,884 sqft",Yes
8452114,NA,Freehold,678 sqft,Residential,84 sqft,"500,579 sqft",Yes
8409580,ZUMURUD REAL ESTATE - sole proprietorship L.L.C,Freehold,819 sqft,Residential,143 sqft,"279,413 sqft",Yes
6939566,NA,Freehold,891 sqft,Residential,59 sqft,"275,870 sqft",Yes
8444560,WEST AVENUE LIMITED,Freehold,700 sqft,Residential,104 sqft,"267,598 sqft",Yes
5527158,NA,Freehold,"1,350 sqft",Residential,74 sqft,"207,736 sqft",Yes
8457918,EMAAR PROPERTIES (P.J.S.C),Freehold,709 sqft,Residential,NA,"366,045 sqft",Yes
8173127,NA,Freehold,"1,392 sqft",Residential,44 sqft,"147,836 sqft",Yes
8428502,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"3,965 sqft",Other,"1,392 sqft","1,403,598 sqft",Yes
7281070,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8129887,NA,Freehold,"1,586 sqft",Residential,105 sqft,"330,421 sqft",Yes
7726031,NA,Freehold,"1,804 sqft",Residential,301 sqft,"305,965 sqft",Yes
8388838,NA,Freehold,722 sqft,Residential,141 sqft,NA,Yes
5635820,NA,Freehold,"3,888 sqft",Residential,562 sqft,"1,326,014 sqft",Yes
